,geometry,block,line_type,block_w_type
DJI.1.1_1_113new_steiner,,DJI.1.1_1_113,new_steiner,DJI.1.1_1_113new_steiner
DJI.1.1_1_113existing_steiner,,DJI.1.1_1_113,existing_steiner,DJI.1.1_1_113existing_steiner
DJI.1.1_1_379new_steiner,,DJI.1.1_1_379,new_steiner,DJI.1.1_1_379new_steiner
DJI.1.1_1_379existing_steiner,,DJI.1.1_1_379,existing_steiner,DJI.1.1_1_379existing_steiner
DJI.1.1_1_382new_steiner,,DJI.1.1_1_382,new_steiner,DJI.1.1_1_382new_steiner
DJI.1.1_1_382existing_steiner,,DJI.1.1_1_382,existing_steiner,DJI.1.1_1_382existing_steiner
DJI.1.1_1_275new_steiner,,DJI.1.1_1_275,new_steiner,DJI.1.1_1_275new_steiner
DJI.1.1_1_275existing_steiner,,DJI.1.1_1_275,existing_steiner,DJI.1.1_1_275existing_steiner
DJI.1.1_1_284new_steiner,,DJI.1.1_1_284,new_steiner,DJI.1.1_1_284new_steiner
DJI.1.1_1_284existing_steiner,,DJI.1.1_1_284,existing_steiner,DJI.1.1_1_284existing_steiner
DJI.1.1_1_308new_steiner,,DJI.1.1_1_308,new_steiner,DJI.1.1_1_308new_steiner
DJI.1.1_1_308existing_steiner,,DJI.1.1_1_308,existing_steiner,DJI.1.1_1_308existing_steiner
DJI.1.1_1_403new_steiner,,DJI.1.1_1_403,new_steiner,DJI.1.1_1_403new_steiner
DJI.1.1_1_403existing_steiner,,DJI.1.1_1_403,existing_steiner,DJI.1.1_1_403existing_steiner
DJI.1.1_1_109new_steiner,,DJI.1.1_1_109,new_steiner,DJI.1.1_1_109new_steiner
DJI.1.1_1_109existing_steiner,,DJI.1.1_1_109,existing_steiner,DJI.1.1_1_109existing_steiner
DJI.1.1_1_146new_steiner,,DJI.1.1_1_146,new_steiner,DJI.1.1_1_146new_steiner
DJI.1.1_1_146existing_steiner,,DJI.1.1_1_146,existing_steiner,DJI.1.1_1_146existing_steiner
DJI.1.1_1_23new_steiner,,DJI.1.1_1_23,new_steiner,DJI.1.1_1_23new_steiner
DJI.1.1_1_23existing_steiner,,DJI.1.1_1_23,existing_steiner,DJI.1.1_1_23existing_steiner
DJI.1.1_1_84new_steiner,,DJI.1.1_1_84,new_steiner,DJI.1.1_1_84new_steiner
DJI.1.1_1_84existing_steiner,,DJI.1.1_1_84,existing_steiner,DJI.1.1_1_84existing_steiner
DJI.1.1_1_188new_steiner,,DJI.1.1_1_188,new_steiner,DJI.1.1_1_188new_steiner
DJI.1.1_1_188existing_steiner,,DJI.1.1_1_188,existing_steiner,DJI.1.1_1_188existing_steiner
DJI.1.1_1_356new_steiner,,DJI.1.1_1_356,new_steiner,DJI.1.1_1_356new_steiner
DJI.1.1_1_356existing_steiner,,DJI.1.1_1_356,existing_steiner,DJI.1.1_1_356existing_steiner
DJI.1.1_1_383new_steiner,,DJI.1.1_1_383,new_steiner,DJI.1.1_1_383new_steiner
DJI.1.1_1_383existing_steiner,,DJI.1.1_1_383,existing_steiner,DJI.1.1_1_383existing_steiner
DJI.1.1_1_436new_steiner,,DJI.1.1_1_436,new_steiner,DJI.1.1_1_436new_steiner
DJI.1.1_1_436existing_steiner,,DJI.1.1_1_436,existing_steiner,DJI.1.1_1_436existing_steiner
DJI.1.1_1_439new_steiner,,DJI.1.1_1_439,new_steiner,DJI.1.1_1_439new_steiner
DJI.1.1_1_439existing_steiner,,DJI.1.1_1_439,existing_steiner,DJI.1.1_1_439existing_steiner
DJI.1.1_1_464new_steiner,,DJI.1.1_1_464,new_steiner,DJI.1.1_1_464new_steiner
DJI.1.1_1_464existing_steiner,,DJI.1.1_1_464,existing_steiner,DJI.1.1_1_464existing_steiner
DJI.1.1_1_77new_steiner,,DJI.1.1_1_77,new_steiner,DJI.1.1_1_77new_steiner
DJI.1.1_1_77existing_steiner,,DJI.1.1_1_77,existing_steiner,DJI.1.1_1_77existing_steiner
