,bldg_time,simplify_time,steiner_time,num_graph_comps,node_count_pre,node_count_post,edge_count_pre,edge_count_post,bldg_count,num_block_coords,num_block_coords_unmatched,block
DJI.1.1_1_113,,,,,,,,,2,16,0,DJI.1.1_1_113
DJI.1.1_1_379,,,,,,,,,2,63,0,DJI.1.1_1_379
DJI.1.1_1_382,,,,,,,,,2,57,0,DJI.1.1_1_382
DJI.1.1_1_275,,,,,,,,,2,33,0,DJI.1.1_1_275
DJI.1.1_1_284,,,,,,,,,2,22,0,DJI.1.1_1_284
DJI.1.1_1_308,,,,,,,,,2,51,0,DJI.1.1_1_308
DJI.1.1_1_403,,,,,,,,,2,40,0,DJI.1.1_1_403
DJI.1.1_1_109,,,,,,,,,2,45,0,DJI.1.1_1_109
DJI.1.1_1_146,,,,,,,,,2,41,0,DJI.1.1_1_146
DJI.1.1_1_23,,,,,,,,,3,4669,0,DJI.1.1_1_23
DJI.1.1_1_84,,,,,,,,,2,33,0,DJI.1.1_1_84
DJI.1.1_1_188,,,,,,,,,2,231,0,DJI.1.1_1_188
DJI.1.1_1_356,,,,,,,,,3,23,0,DJI.1.1_1_356
DJI.1.1_1_383,,,,,,,,,2,40,0,DJI.1.1_1_383
DJI.1.1_1_436,,,,,,,,,2,42,0,DJI.1.1_1_436
DJI.1.1_1_439,,,,,,,,,2,24,0,DJI.1.1_1_439
DJI.1.1_1_464,,,,,,,,,2,71,0,DJI.1.1_1_464
DJI.1.1_1_77,,,,,,,,,4,30,0,DJI.1.1_1_77
DJI.1.1_1_97,,,,,,,,,3,67,0,DJI.1.1_1_97
DJI.1.1_1_120,,,,,,,,,2,22,0,DJI.1.1_1_120
DJI.1.1_1_38,,,,,,,,,3,1034,0,DJI.1.1_1_38
DJI.1.1_1_110,,,,,,,,,3,53,0,DJI.1.1_1_110
DJI.1.1_1_151,,,,,,,,,3,19,0,DJI.1.1_1_151
DJI.1.1_1_420,,,,,,,,,3,29,0,DJI.1.1_1_420
DJI.1.1_1_17,,,,,,,,,2,809,0,DJI.1.1_1_17
DJI.1.1_1_100,,,,,,,,,3,34,0,DJI.1.1_1_100
DJI.1.1_1_117,,,,,,,,,3,21,0,DJI.1.1_1_117
DJI.1.1_1_131,,,,,,,,,3,14,0,DJI.1.1_1_131
DJI.1.1_1_405,,,,,,,,,4,42,0,DJI.1.1_1_405
DJI.1.1_1_147,,,,,,,,,3,213,0,DJI.1.1_1_147
DJI.1.1_1_274,,,,,,,,,2,73,0,DJI.1.1_1_274
DJI.1.1_1_315,,,,,,,,,5,67,0,DJI.1.1_1_315
DJI.1.1_1_413,,,,,,,,,4,22,0,DJI.1.1_1_413
DJI.1.1_1_476,,,,,,,,,4,104,0,DJI.1.1_1_476
DJI.1.1_1_484,,,,,,,,,3,32,0,DJI.1.1_1_484
DJI.1.1_1_74,,,,,,,,,8,42,0,DJI.1.1_1_74
DJI.1.1_1_172,,,,,,,,,6,22,0,DJI.1.1_1_172
DJI.1.1_1_237,,,,,,,,,2,48,0,DJI.1.1_1_237
DJI.1.1_1_311,,,,,,,,,8,26,0,DJI.1.1_1_311
DJI.1.1_1_31,,,,,,,,,5,698,0,DJI.1.1_1_31
DJI.1.1_1_411,,,,,,,,,4,68,0,DJI.1.1_1_411
DJI.1.1_1_49,,,,,,,,,7,305,0,DJI.1.1_1_49
DJI.1.1_1_380,,,,,,,,,3,53,0,DJI.1.1_1_380
DJI.1.1_1_115,,,,,,,,,11,46,0,DJI.1.1_1_115
DJI.1.1_1_409,,,,,,,,,10,87,0,DJI.1.1_1_409
DJI.1.1_1_190,,,,,,,,,5,699,0,DJI.1.1_1_190
DJI.1.1_1_404,,,,,,,,,7,182,0,DJI.1.1_1_404
DJI.1.1_1_486,,,,,,,,,10,67,0,DJI.1.1_1_486
DJI.1.1_1_162,,,,,,,,,8,45,0,DJI.1.1_1_162
DJI.1.1_1_165,,,,,,,,,10,90,0,DJI.1.1_1_165
DJI.1.1_1_348,,,,,,,,,16,124,0,DJI.1.1_1_348
DJI.1.1_1_280,,,,,,,,,10,63,0,DJI.1.1_1_280
DJI.1.1_1_414,,,,,,,,,10,66,0,DJI.1.1_1_414
DJI.1.1_1_171,,,,,,,,,10,55,0,DJI.1.1_1_171
DJI.1.1_1_399,,,,,,,,,18,74,0,DJI.1.1_1_399
DJI.1.1_1_340,,,,,,,,,4,509,0,DJI.1.1_1_340
DJI.1.1_1_506,,,,,,,,,23,746,0,DJI.1.1_1_506
DJI.1.1_1_78,,,,,,,,,21,76,0,DJI.1.1_1_78
DJI.1.1_1_238,,,,,,,,,11,67,0,DJI.1.1_1_238
DJI.1.1_1_68,,,,,,,,,20,83,0,DJI.1.1_1_68
DJI.1.1_1_75,,,,,,,,,19,118,0,DJI.1.1_1_75
DJI.1.1_1_118,,,,,,,,,17,39,0,DJI.1.1_1_118
DJI.1.1_1_173,,,,,,,,,19,221,0,DJI.1.1_1_173
DJI.1.1_1_112,,,,,,,,,19,133,0,DJI.1.1_1_112
DJI.1.1_1_177,,,,,,,,,20,1776,0,DJI.1.1_1_177
DJI.1.1_1_116,,,,,,,,,14,40,0,DJI.1.1_1_116
DJI.1.1_1_408,,,,,,,,,23,66,0,DJI.1.1_1_408
DJI.1.1_1_402,,,,,,,,,30,65,0,DJI.1.1_1_402
DJI.1.1_1_28,,,,,,,,,18,5707,0,DJI.1.1_1_28
DJI.1.1_1_119,,,,,,,,,27,125,0,DJI.1.1_1_119
DJI.1.1_1_71,,,,,,,,,28,98,0,DJI.1.1_1_71
DJI.1.1_1_1,,,,,,,,,22,2846,0,DJI.1.1_1_1
DJI.1.1_1_169,,,,,,,,,34,109,0,DJI.1.1_1_169
DJI.1.1_1_412,,,,,,,,,47,55,0,DJI.1.1_1_412
DJI.1.1_1_416,,,,,,,,,48,56,0,DJI.1.1_1_416
DJI.1.1_1_417,,,,,,,,,41,167,0,DJI.1.1_1_417
DJI.1.1_1_76,,,,,,,,,48,65,0,DJI.1.1_1_76
DJI.1.1_1_152,,,,,,,,,50,387,0,DJI.1.1_1_152
DJI.1.1_1_418,,,,,,,,,63,40,0,DJI.1.1_1_418
DJI.1.1_1_70,,,,,,,,,72,113,0,DJI.1.1_1_70
DJI.1.1_1_415,,,,,,,,,66,68,0,DJI.1.1_1_415
DJI.1.1_1_87,,,,,,,,,69,174,0,DJI.1.1_1_87
DJI.1.1_1_9,,,,,,,,,73,2191,0,DJI.1.1_1_9
DJI.1.1_1_88,,,,,,,,,79,225,0,DJI.1.1_1_88
DJI.1.1_1_166,,,,,,,,,101,89,0,DJI.1.1_1_166
DJI.1.1_1_400,,,,,,,,,130,177,0,DJI.1.1_1_400
DJI.1.1_1_11,,,,,,,,,133,1539,0,DJI.1.1_1_11
DJI.1.1_1_3,,,,,,,,,180,5612,0,DJI.1.1_1_3
