country,region,gadm_name,geofabrik_name,geofabrik_region
Afghanistan,Asia & Pacific,AFG,afghanistan,asia
Algeria,Arab States,DZA,algeria,africa
American Samoa,Asia & Pacific,ASM,american-samoa,asia
Angola,Africa,AGO,angola,africa
Anguilla,South/Latin America,AIA,anguilla,south-america
Antigua and Barbuda,South/Latin America,ATG,antigua-and-barbuda,south-america
Argentina,South/Latin America,ARG,argentina,south-america
Armenia,Europe,ARM,armenia,asia
Aruba,South/Latin America,ABW,aruba,south-america
Azerbaijan,Asia & Pacific,AZE,azerbaijan,asia
Bahamas,South/Latin America,BHS,bahamas,south-america
Bahrain,Arab States,BHR,gcc-states,asia
Bangladesh,Asia & Pacific,BGD,bangladesh,asia
Barbados,South/Latin America,BRB,barbados,south-america
Belarus,Europe,BLR,belarus,europe
Belize,South/Latin America,BLZ,belize,central-america
Benin,Africa,BEN,benin,africa
Bhutan,Asia & Pacific,BTN,bhutan,asia
Bolivia,South/Latin America,BOL,bolivia,south-america
Botswana,Africa,BWA,botswana,africa
Bouvet Island,South/Latin America,BVT,bouvet-island,south-america
Brazil,South/Latin America,BRA,brazil,south-america
British Indian Ocean Territory,Asia & Pacific,IOT,british-indian-ocean-territory,asia
Brunei Darussalam,Asia & Pacific,BRN,malaysia-singapore-brunei,asia
Burkina Faso,Africa,BFA,burkina-faso,africa
Burundi,Africa,BDI,burundi,africa
Cambodia,Asia & Pacific,KHM,cambodia,asia
Cameroon,Africa,CMR,cameroon,africa
Cape Verde,Africa,CPV,cape-verde,africa
Cayman Islands,South/Latin America,CYM,cayman-islands,south-america
Central African Republic,Africa,CAF,central-african-republic,africa
Chad,Africa,TCD,chad,africa
Chile,South/Latin America,CHL,chile,south-america
China,Asia & Pacific,CHN,china,asia
Christmas Island,Asia & Pacific,CXR,christmas-island,asia
Cocos (Keeling) Islands,Asia & Pacific,CCK,cocos-(keeling)-islands,asia
Colombia,South/Latin America,COL,colombia,south-america
Comoros,Arab States,COM,comores,africa
Congo,Africa,COG,congo-brazzaville,africa
"Congo, The Democratic Republic of the",Africa,COD,congo-democratic-republic,africa
Cook Islands,Asia & Pacific,COK,cook-islands,asia
Costa Rica,South/Latin America,CRI,costa-rica,central-america
Côte D'Ivoire,Africa,CIV,ivory-coast,africa
Cuba,South/Latin America,CUB,cuba,central-america
Djibouti,Arab States,DJI,djibouti,africa
Dominica,South/Latin America,DMA,dominica,south-america
Dominican Republic,South/Latin America,DOM,haiti-and-domrep,central-america
Ecuador,South/Latin America,ECU,ecuador,south-america
Egypt,Arab States,EGY,egypt,africa
El Salvador,South/Latin America,SLV,el-salvador,south-america
Equatorial Guinea,Africa,GNQ,equatorial-guinea,africa
Eritrea,Africa,ERI,eritrea,africa
Ethiopia,Africa,ETH,ethiopia,africa
Falkland Islands (Malvinas),South/Latin America,FLK,falkland-islands-(malvinas),south-america
Fiji,Asia & Pacific,FJI,fiji,australia-oceania
French Guiana,South/Latin America,GUF,french-guiana,south-america
French Polynesia,Asia & Pacific,PYF,french-polynesia,asia
French Southern Territories,Asia & Pacific,ATF,french-southern-territories,asia
Gabon,Africa,GAB,gabon,africa
Gambia,Africa,GMB,senegal-and-gambia,africa
Georgia,Europe,GEO,georgia,europe
Ghana,Africa,GHA,ghana,africa
Grenada,South/Latin America,GRD,grenada,south-america
Guadeloupe,South/Latin America,GLP,guadeloupe,south-america
Guam,Asia & Pacific,GUM,guam,asia
